timestamp;message
3:16  PM; Franklin M  CNN NÃO FICA FILMANDO UM GATO PINGADO NÃO, AI TEM MAIS DE MILHÕES DE PESSOAS                 
3:16  PM; Marye Aragao  Mas tem gente tonta, senhor
3:16  PM; Vera Martins  MICHEQUE COM SAUDADE DO MAQUIADOR.
3:16  PM; Chris R.  MICHEQUE E MALACHEIA!!! CADA UM GANHA O SEU COM O QUE TEM NÉ  HAHAHAAH
3:16  PM; ARTECH SOLUÇÕES  JÁ FOI MAIOR HEIN !
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; Juniorclaudia Oliveira  pode ter apoio vai ser preso do mesmo jeito
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; laura tesla  Basília é mula
3:16  PM; Matheus Cosin  a basilia já aprendeu geografia!     
3:16  PM; Chris R.  MICHEQUE E MALACHEIA!!! CADA UM GANHA O SEU COM O QUE TEM NÉ  HAHAHAAH
3:16  PM; Kozuki Oden  Ué burros não ia flopar  
3:16  PM; Josué Nascimento  PERDEU MANÉ
3:16  PM; JOSE RICARDO DOS SANTOS  2,5 milhões de pessoas segundo a  PM 
3:16  PM; Eliton  GADO GADO GADO GADO GADO
3:16  PM; Jose Hilton  esse bolsomerda vai ter que pagar na cadeia o que ele fez com a população brasileira
3:16  PM;" rafael barata  "" o povo cansou"" fonte: eu"
3:16  PM; ALEX SANDRO  dinheiro do dízimo bancando político isso e ofensivo demais
3:16  PM; Marye Aragao  Mas tem gente tonta, senhor
3:16  PM; Brenda Lacerda  AMANHÃ SEGUNDA-FEIRA ÀS 06:00 DA MANHÃ: PF TOC TOC TOC
3:16  PM; SIMPLES  AGORA É TARDE
3:16  PM; Nick Iva  FESTA DE DESPEDIDA 
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; Ronaldo Prudente  Que ridículo os evangélicos sendo usado na política!!! como Massa de manobra!!!
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; JOSE RICARDO DOS SANTOS  2,5 milhões de pessoas segundo a  PM 
3:16  PM; Gilberto Mahadêva      Av, gadista
3:16  PM; Paula Rodrigues  
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; SIMPLES  AGORA É TARDE
3:16  PM; Wallace Carvalho oficial  Av. Paulista lotada (yotub SILAS MALAFAIA OFICIAL) 180 mil assistindo, contra 45 assistindo Lula na Tv GOV kkkkkkkkk
3:16  PM; rafael barata  NOVA ROTA BOVINA BRASILEIRA         
3:16  PM; Mari Pedacce  EU À CAMINHO DA PAULISTA EM APOIO AO NOSSO EXCELENTÍSSIMO PRESIDENTE JAIR BOLSONARO!                         
3:16  PM; Carlos Lindolfo Rinnert  Bozo preso amanhã
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; Carla Pereira  Michele chorando porquê sabe que a prisão está próxima! kkkk
3:16  PM; Vera Martins  MICHEQUE COM SAUDADE DO MAQUIADOR.
3:16  PM; Transmitir  boa tarde
3:16  PM; JOSE RICARDO DOS SANTOS  2,5 milhões de pessoas segundo a  PM 
3:16  PM; SIMPLES  AGORA É TARDE
3:16  PM; Evaldo Luiz  A FILHA DO BOLSONARO É A CARA DO MAQUIADOR
3:16  PM; Gerson Gonçalves  Maior concentração de tornozeleira eletrônica da História.
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; teca jardim   .  PAPUDA NELES..
3:16  PM; isa  Tá muito lindo                         
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; laura tesla  Basília voto no lularapio
3:16  PM; JOSE RICARDO DOS SANTOS  2,5 milhões de pessoas segundo a  PM 
3:16  PM; OLIVEIRA  ROUBARAM AS ELEIÇÕES
3:16  PM; Daubi Piccoli  QUANTOS BANDID@$ JUNT@$
3:16  PM; Hideo Alves  Cadê o pessoal com os celulares na cabeça fazendo contato com os extra terrestres  cadê os pneus pegando fogo com o povo cantando o hino 
3:16  PM; Paulo Vitor de Oliveira  abriram as portas do INSS e do CAPS 
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; Denilson Silva Oliveira  Golpistas na Paulista
3:16  PM; Chris R.  E O MAQUIADOR DA MICHEQUE VAI LOUVAR TB 
3:16  PM; Eliton  GADO GADO GADO GADO GADO
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; Marye Aragao  Mas tem gente tonta, senhor
3:16  PM; Chris R.  MICHEQUE E MALACHEIA!!! CADA UM GANHA O SEU COM O QUE TEM NÉ  HAHAHAAH
3:16  PM; Alexsandro Loures  esse bozo já era
3:16  PM; Mariza Andrade  da lhe máquinas
3:16  PM; Raph Sooli  É A ESQUERDA QUE TÁ AÍ IGUAL NO 08/01 kkkkkkkkkkkkk
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; Carlos Roberto  FORA REDE ESGOTO DE TELEVISÃO
3:16  PM; PDzin  Pastor gastando com política
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; Mariza Sotelo Codo  Pode chorar na cama gadaiada, que é quentinho. Bozo inelegível!
3:16  PM; Flay  PF já tem um  e flecha paro o Silas  faia
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; Wallace Carvalho oficial  Av. Paulista lotada (yotub SILAS MALAFAIA OFICIAL) 180 mil assistindo, contra 45 assistindo Lula na Tv GOV kkkkkkkkk
3:16  PM; Batista Queiroz  MUITA RAÇÃO DE CAPIM SENDO DESTRIBUIDA
3:16  PM; JOSE RICARDO DOS SANTOS  2,5 milhões de pessoas segundo a  PM 
3:16  PM; Marcelo ID  Verguenza ...
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; Danielle Pereira  Ele tá é se cagando de medo
3:16  PM; Dinho_Bdf  Bolsonaro estrelando O REI DO GADO
3:16  PM; Paulo Travasso  Realmente, enquanto grande parte da população tiver o seu político de estimação,nunca sairemos da mediocridade como uma nação!
3:16  PM; Vera Martins  MICHEQUE COM SAUDADE DO MAQUIADOR.
3:16  PM; kadubona1  A VIVA MICHEQUE
3:16  PM; Nick Iva  FESTA DE DESPEDIDA 
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; Ricardo Barroso  LulaDrão 
3:16  PM; Ricardo Sereno  Lotadasso
3:16  PM; Guilherme luan fischer  DEVOLVE O DINHEIRO DO POVO MICHELE
3:16  PM; Dinho_Bdf  Bolsonaro estrelando O REI DO GADO
3:16  PM; isa  Fora PT
3:16  PM; Chris R.  MICHEQUE E MALACHEIA!!! CADA UM GANHA O SEU COM O QUE TEM NÉ  HAHAHAAH
3:16  PM; Matheus Cosin  ou só aprende a mentir com a Dani água de salsicha
3:16  PM; Daniel Migueis  TÁ COM MEDO DE SER PRESO KKKKK
3:16  PM; gomescl95  essa manifestação ta boa pra tomar cerveja e pegar mulher
3:16  PM; Manoel Holanda  essa petista
3:16  PM; @Assim.diz.a.NATUREZA  MUITA GENTE! PARECE UM FORMIGUEIRO!!!
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; davi amaral  3 MILHOES DE PESSOAS FACIL
3:16  PM; awpelite2008  QUANTA INVEJA DESSES PARASITAS
3:16  PM; Dinho_Bdf  Bolsonaro estrelando O REI DO GADO
3:16  PM; davi amaral  3 MILHOES DE PESSOAS FACIL
3:16  PM; hore pedero  PORCOS PETISCOS CHORANDO NO CHAT VENDO O VERDADEIRO POVO DO DO BRASIL
3:16  PM; davi amaral  3 MILHOES DE PESSOAS FACIL
3:16  PM; Sandra Costa da rocha Costa  o medo da.papuda faz o gado se comportar
3:16  PM; MARCOS CURI  A ESQUERDA ESTA BABANDO DE RAIVA
3:16  PM; SIMPLES  AGORA É TARDE
3:16  PM; davi amaral  3 MILHOES DE PESSOAS FACIL
3:16  PM; Pedro Edmundo  sabe Deus como fizeram para transportar esta choldra
3:16  PM; Aldir Silva  Bolsonaro na cadeia já
3:16  PM; Perch and Swivel  MUUUU 
3:16  PM; Natan Carvalho  quem é basilia Rodrigues mosso , mulher nojenta
3:16  PM; Vera Martins  MICHEQUE COM SAUDADE DO MAQUIADOR.
3:16  PM; Cidadão Comum  CADÊ A POLÍCIA 
3:16  PM; Chris R.  MICHEQUE E MALACHEIA!!! CADA UM GANHA O SEU COM O QUE TEM NÉ  HAHAHAAH
3:16  PM; Lucas Bernardino  NA CADEIA
3:16  PM; Valeria Benevenuto  vai sonhado bolsonaristas golpistas
3:16  PM; davi amaral  3 MILHOES DE PESSOAS FACIL
3:16  PM; hore pedero  PORCOS PETISCOS CHORANDO NO CHAT VENDO O VERDADEIRO POVO DO DO BRASIL
3:16  PM; awpelite2008  QUANTA INVEJA DESSES PARASITAS 
3:16  PM; Batista Queiroz  MUITA RAÇÃO DE CAPIM SENDO DESTRIBUIDA
3:16  PM; davi amaral  3 MILHOES DE PESSOAS FACIL
